"ID","category","country","description","price","rating","region","title","varietal","vintage"
"1","Red","US","This is among winemaker Cathy Corison's finest offerings, made from decades-old vines planted on St. George rootstock. Cassis, red currant and floral elements make for an inviting entry of aromatics that is followed by substantial structure and classic herbal undertones. A pillowy body of balanced elegance is met by an earthy, leathery finish of complex beauty.","185",95,"California","Corison 2015 Kronos Vineyard Cabernet Sauvignon (St. Helena)","Cabernet Sauvignon","2015"
"131","Red","Austria","Cinnamon and plum notes immediately reach the nose before a more pervasive, dark peony note makes itself felt. The concentrated palate presents the finest web of sheer tannins, which provide an almost invisible but nonetheless firm structure against which the sonorous plum fruit can play. A very elegant, fine-boned wine that will reward with a little bottle aging. Lovely freshness pervades all. Drink 2022–2032.","90",95,"Thermenregion","Johanneshof Reinisch 2016 Ried Holzspur St. Laurent (Thermenregion)","St. Laurent","2016"
"132","White","Austria","Soft green pear on the nose has edges of dried sage. The slender palate still seems tightly closed but its pithy, textured concentration promises depths of salty, yeasty, pear- and citrus-fruited pleasure. This will blossom with a little bottle aging and will definitely be worth the wait. Drink 2022–2030.","39",95,"Kamptal","Eichinger 2017 Ried Lamm Grüner Veltliner (Kamptal)","Grüner Veltliner","2017"
"133","Red","France","Tasted five years after bottling, this wine still shows a core of dried strawberry and cherry flavor, but it's shaded by umami tones of balsamic, leather and mushroom. It's intoxicatingly rich on the palate but balanced freshly, edged by delicate tea tannins. This complex wine shows its savory side elegantly. It drinks well now but should hold till 2024.","115",95,"Rhône Valley","Domaine du Pegau 2013 Cuvée Laurence Red (Châteauneuf-du-Pape)","Rhône-style Red Blend","2013"
"134","White","Austria","A touch of reduction, a hint of savory soy and the aromatic headiness of crushed citrus foliage make for a most intriguing, inviting nose. The palate has a generous, easy juiciness; a harmonious ripeness and a lovely edge of pith on its concentrated texture. The finish is fresh but rounded, dry and long.","75",95,"Kamptal","Bründlmayer 2017 Ried Heiligenstein Lyra Riesling (Kamptal)","Riesling","2017"
"135","Red","US","Beautifully plump aromas of black plum, violet, rose and baked fennel show on the nose of this bottling. Soft and full on the palate, it offers plenty of fruit surrounding the earthy core, with flavors of wild cherry, cherry pit, Alpine strawberry, loam and herb.","59",95,"California","Williams Selyem 2016 Vista Verde Vineyard Pinot Noir (San Benito County)","Pinot Noir","2016"
"136","Red","US","This wine is pretty, floral and compact in red fruit, the texture soft and billowy on the palate. Rich and full bodied, it has additional complexity from small amounts of Cabernet Franc, Merlot and Petit Verdot. Integrated beautifully, it shows balance and power in equal measure.","102",95,"California","Alpha Omega 2015 Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","2015"
"137","Red","France","Lavender and violet perfume extends from nose to finish in this aromatic Syrah. Black-plum and cherry flavors are juicy yet spry, balanced by crisp acidity and tangs of crushed granite. Ripe, fine tannins accentuate its supple style. Lovely already it should gain complexity well through 2030 and hold further.","88",95,"Rhône Valley","Rémi Niero 2015 Eminence  (Côte Rôtie)","Rhône-style Red Blend","2015"
"138","White","Austria","Lovely, aromatic notes of lemon and bergamot peel play on the nose. The palate comes in with a wonderfully zesty purity that lends tension to the entire palate. Mouthwatering freshness lies at the core of this streamlined, citrus-filled wine. The finish is dry, long, zesty and moreish.","68",95,"Kremstal","Nigl 2017 Ried Hochäcker Privat Riesling (Kremstal)","Riesling","2017"
"139","White","Austria","Ripe Mirabelle plum and red apple fruit are surrounded by aromatic notes of crushed citrus foliage. That alluring headiness continues on the fresh, juicy, generous body that always has a zesty, almost salty, mouthwatering edge. Wonderfully streamlined and fresh, with a long, zesty and dry finish. Drink until 2035.","79",95,"Kremstal","Nigl 2017 Ried Goldberg Riesling (Kremstal)","Riesling","2017"
